English,Urdu
"Taste 1010
Good service and better quantity with good price",ذائقہ 1010 اچھی سروس اور اچھی قیمت کے ساتھ بہتر مقدار
Food is awesome,کھانا لاجواب ہے۔
and have greater difficulty making decisions,اور فیصلے کرنے میں زیادہ دشواری ہوتی ہے۔
Good but things need to be improvement,اچھی بات ہے لیکن حالات میں بہتری کی ضرورت ہے۔
one thing is certain You need to talk to your parents,ایک چیز یقینی ہے آپ کو اپنے والدین سے بات کرنے کی ضرورت ہے۔
Take a chance,ایک بار کر کے دیکھو۔
Affording charges,چارجز برداشت کرنا
Broast was awesome and service was good too,براسٹ بہت اچھا تھا اور سروس بھی اچھی تھی۔
Good for family gathering ambience and service is very good,خاندانی اجتماع، ماحول اور خدمت کے لیے بہت اچھا ہے۔
Don’t bother me,مجھے پریشان نہ کرو۔
Famous nihari hotel at very famous food area,بہت مشہور کھانے کے علاقے میں مشہور نہاری ہوٹل
Pretty good but waiting time is so long,بہت اچھا لیکن انتظار کا وقت بہت طویل ہے۔
You had a swim yesterday,آپ نے کل تیراکی کی تھی۔
Tom has a daughter named Mary,ٹام کی ایک بیٹی کا نام ہے مریم۔
If only cleanliness was maintained,اگر صرف صفائی کا خیال رکھا جاتا۔
What is that Moses thou hast in thy right hand,اور اے موسیٰؑ، یہ تیرے ہاتھ میں کیا ہے؟
Good in taste clean environment,ذائقہ صاف ماحول میں اچھا ہے
Nice ac hall  Food was average,اچھا اے سی ہال۔ کھانا اوسط تھا۔
Normal food taste,عام کھانے کا ذائقہ۔
A friend lent me this book,ایک دوست نے مجھے یہ کتاب دی تھی۔
Chicken karahi is so etching different,چکن کراہی بہت مختلف ہے
” And the young man went to the gangway,اور نوجوان گینگ وے کی طرف چلا گیا۔
Youve got to keep this secret OK,تمہیں اس کو صیغہ راز میں رکھنا ہوگا، ٹھیک ہے؟
"”

“Let us go then",پھر چلو
Good night,شب بخیر۔
He is crankyirritable,وہ چڑچڑا انسان ہے۔
Service and food is awsome,سروس اور کھانا شاندار ہے۔
Better hotel to go with family or friends,خاندان یا دوستوں کے ساتھ جانے کے لیے بہتر ہوٹل
You must forgive me if I was taken aback,اگر میں حیران رہ گیا ہوں تو آپ کو مجھے معاف کرنا چاہئے۔
Good food will not recommend for family visit and high prices,اچھا کھانا، خاندان کے دورے کے لیے سفارش نہیں کرے گا اور زیادہ قیمتیں
Been going there since childhood and absolutely love this place,بچپن سے وہاں جا رہا ہوں اور اس جگہ کو بالکل پسند کرتا ہوں۔
Waiters and staff need to be improved,ویٹروں اور عملے کو بہتر کرنے کی ضرورت ہے۔
Best for its kind,اس کی قسم کے لیے بہترین
superb bar b q,شاندار بار بی کیو
Quality and quantity both are good,معیار اور مقدار دونوں اچھے ہیں۔
Tasty food and specially their boneless karahi,لذیذ کھانے اور خاص طور پر ان کی ہڈیوں کے بغیر کراہی۔
Customers were welcomed with full care at the restaurant,ریسٹورنٹ میں گاہکوں کا پوری احتیاط کے ساتھ استقبال کیا گیا۔
Ok good place to visit with Family,فیملی کے ساتھ دیکھنے کے لیے اچھی جگہ ہے۔
Ah wonderful,بہت خوب۔
Spicy Grill food good experience,مسالیدار گرل کھانے کا اچھا تجربہ
Best nihari place in karachi,کراچی میں بہترین نہاری جگہ
They evolved a lot in taste as well as service,انہوں نے ذائقہ کے ساتھ ساتھ خدمت میں بھی بہت ترقی کی۔
One of the best kababs n bbq in town,شہر کے بہترین کباب اور بی بی کیو میں سے ایک
I found a dollar in the street,مجھے سڑک پہ ایک ڈالر گرا ہوا ملا۔
Best malai boti and kabab in KHI,KHI میں بہترین ملائی بوٹی اور کباب
Authentic barbecue taste,مستند باربی کیو ذائقہ
Mother and motherland are greater than heaven,ماں اور مادر وطن جنت سے بڑھ کر ہیں
Excellent service good food,بہترین سروس، اچھا کھانا
Can I help you,کیا میں اپ کی مدد کر سکتا ہوں؟
Its my 2nd time but it was bad,یہ میری دوسری بار ہے لیکن یہ برا تھا۔
As always it awesome Chatakh Boti and Fry Kabab,ہمیشہ کی طرح یہ لاجواب چٹاخ بوٹی اور کباب فرائی
Taste was good but service was a bit slow,ذائقہ اچھا تھا لیکن سروس تھوڑی سست تھی۔
Tasty food at reasonable prices,مناسب قیمت پر لذیذ کھانا
